ShipmentNumber,ExceptionCode,ExceptionDescription,ExceptionCategory,SeverityCode,ExceptionStatus,ExceptionDateTime,ResolvedDateTime,DelayMinutesImpact,ResponsibleParty,Notes
SHP0000072,DAMG,Damaged Shipment,Damage,High,Closed,2025-05-18 03:00:21,2025-05-18 21:16:23,765,Carrier,Shipment flagged for damage inspection.
SHP0000073,DAMG,Damaged Shipment,Damage,High,Closed,2025-09-23 14:09:11,2025-09-24 09:38:31,555,Carrier,Shipment flagged for damage inspection.
SHP0000074,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-03-11 07:13:45,2025-03-12 04:22:01,617,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000076,ADDR,Address Issue,Address,Medium,Closed,2025-07-08 06:44:07,2025-07-08 17:25:22,511,Customer,Delivery address requires correction or validation.
SHP0000077,MSCN,Missed Scan,Process,Medium,Closed,2025-07-09 15:09:08,2025-07-10 02:59:03,451,Operations,Expected scan was not captured on time.
SHP0000079,DAMG,Damaged Shipment,Damage,High,Closed,2025-05-17 00:52:58,2025-05-18 06:15:24,1647,Carrier,Shipment flagged for damage inspection.
SHP0000081,MSCN,Missed Scan,Process,Medium,Closed,2025-03-16 07:00:08,2025-03-16 23:26:00,218,Operations,Expected scan was not captured on time.
SHP0000083,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-07-09 20:59:35,2025-07-10 08:24:33,341,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000088,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-01-28 13:47:24,2025-01-29 11:08:31,756,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000091,MSCN,Missed Scan,Process,Medium,Closed,2025-06-11 09:21:03,2025-06-11 14:48:08,343,Operations,Expected scan was not captured on time.
SHP0000094,ADDR,Address Issue,Address,Medium,Closed,2025-02-20 17:17:52,2025-02-21 14:22:36,1207,Customer,Delivery address requires correction or validation.
SHP0000097,ADDR,Address Issue,Address,Medium,Closed,2025-09-19 22:50:09,2025-09-20 22:02:50,515,Customer,Delivery address requires correction or validation.
SHP0000100,DAMG,Damaged Shipment,Damage,High,Closed,2025-07-20 13:57:47,2025-07-22 14:14:14,2491,Carrier,Shipment flagged for damage inspection.
SHP0000101,MSCN,Missed Scan,Process,Medium,Open,2025-04-04 16:32:49,,388,Operations,Expected scan was not captured on time.
SHP0000104,MSCN,Missed Scan,Process,Medium,Closed,2025-03-28 02:42:17,2025-03-28 12:09:16,178,Operations,Expected scan was not captured on time.
SHP0000106,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-02 09:37:13,2025-06-03 05:25:19,683,Carrier,Shipment flagged for damage inspection.
SHP0000108,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-04-06 13:42:05,2025-04-07 04:50:01,540,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000111,ADDR,Address Issue,Address,Medium,Closed,2025-01-07 07:36:31,2025-01-08 13:03:39,1217,Customer,Delivery address requires correction or validation.
SHP0000112,ADDR,Address Issue,Address,Medium,Closed,2025-05-29 10:41:55,2025-05-30 01:23:27,285,Customer,Delivery address requires correction or validation.
SHP0000124,MECH,Equipment Failure,Mechanical,High,Closed,2025-09-17 02:05:05,2025-09-17 16:59:18,679,Carrier,Equipment failure caused an operational delay.
SHP0000132,DAMG,Damaged Shipment,Damage,High,Open,2025-09-04 23:02:29,,2211,Carrier,Shipment flagged for damage inspection.
SHP0000135,ADDR,Address Issue,Address,Medium,Closed,2025-05-26 06:19:56,2025-05-26 17:41:43,314,Customer,Delivery address requires correction or validation.
SHP0000141,ADDR,Address Issue,Address,Medium,Closed,2025-04-24 09:25:00,2025-04-25 00:09:22,143,Customer,Delivery address requires correction or validation.
SHP0000142,MSCN,Missed Scan,Process,Medium,Closed,2025-07-31 14:14:04,2025-08-01 02:13:16,320,Operations,Expected scan was not captured on time.
SHP0000143,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-09-18 18:04:55,2025-09-19 07:31:32,387,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000144,ADDR,Address Issue,Address,Medium,Closed,2025-01-04 11:21:57,2025-01-05 08:49:22,1070,Customer,Delivery address requires correction or validation.
SHP0000145,MSCN,Missed Scan,Process,Medium,Closed,2025-08-28 16:09:03,2025-08-29 09:22:11,151,Operations,Expected scan was not captured on time.
SHP0000149,MSCN,Missed Scan,Process,Medium,Closed,2025-05-27 19:43:09,2025-05-28 02:06:41,499,Operations,Expected scan was not captured on time.
SHP0000152,WX,Weather Delay,Weather,High,Closed,2025-06-22 08:54:55,2025-06-23 09:53:05,747,Carrier,Shipment delayed because of weather conditions.
SHP0000156,MSCN,Missed Scan,Process,Medium,Closed,2025-05-24 09:12:32,2025-05-24 23:01:56,501,Operations,Expected scan was not captured on time.
SHP0000160,MECH,Equipment Failure,Mechanical,High,Closed,2025-06-29 10:08:39,2025-06-30 07:56:32,1163,Carrier,Equipment failure caused an operational delay.
SHP0000161,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-12 22:23:47,2025-06-13 19:25:59,612,Carrier,Shipment flagged for damage inspection.
SHP0000169,ADDR,Address Issue,Address,Medium,Closed,2025-09-05 11:29:43,2025-09-05 19:26:34,138,Customer,Delivery address requires correction or validation.
SHP0000173,WX,Weather Delay,Weather,High,Closed,2025-03-09 19:05:48,2025-03-10 09:52:37,868,Carrier,Shipment delayed because of weather conditions.
SHP0000175,MSCN,Missed Scan,Process,Medium,Closed,2025-02-28 19:35:25,2025-03-01 02:27:02,249,Operations,Expected scan was not captured on time.
SHP0000176,WX,Weather Delay,Weather,High,Closed,2025-04-25 00:17:31,2025-04-25 17:11:12,333,Carrier,Shipment delayed because of weather conditions.
SHP0000178,ADDR,Address Issue,Address,Medium,Open,2025-05-19 22:16:14,,1410,Customer,Delivery address requires correction or validation.
SHP0000180,WX,Weather Delay,Weather,High,Closed,2025-08-24 02:11:11,2025-08-24 21:14:32,597,Carrier,Shipment delayed because of weather conditions.
SHP0000182,DAMG,Damaged Shipment,Damage,High,Closed,2025-08-04 15:21:00,2025-08-06 00:31:35,1828,Carrier,Shipment flagged for damage inspection.
SHP0000185,WX,Weather Delay,Weather,High,Closed,2025-02-07 19:01:30,2025-02-09 07:17:31,1477,Carrier,Shipment delayed because of weather conditions.
SHP0000187,MECH,Equipment Failure,Mechanical,High,Closed,2025-03-14 05:06:15,2025-03-14 23:37:56,570,Carrier,Equipment failure caused an operational delay.
SHP0000188,DAMG,Damaged Shipment,Damage,High,Closed,2025-03-07 15:45:01,2025-03-09 16:37:53,2819,Carrier,Shipment flagged for damage inspection.
SHP0000189,ADDR,Address Issue,Address,Medium,Closed,2025-07-07 11:12:27,2025-07-08 14:08:50,1253,Customer,Delivery address requires correction or validation.
SHP0000198,DAMG,Damaged Shipment,Damage,High,Closed,2025-05-30 03:55:09,2025-05-31 02:49:22,844,Carrier,Shipment flagged for damage inspection.
SHP0000200,WX,Weather Delay,Weather,High,Closed,2025-07-29 11:08:06,2025-07-30 12:26:39,944,Carrier,Shipment delayed because of weather conditions.
SHP0000201,MSCN,Missed Scan,Process,Medium,Closed,2025-01-28 02:15:39,2025-01-28 14:08:18,517,Operations,Expected scan was not captured on time.
SHP0000205,ADDR,Address Issue,Address,Medium,Open,2025-02-24 12:31:50,,594,Customer,Delivery address requires correction or validation.
SHP0000207,DAMG,Damaged Shipment,Damage,High,Closed,2025-01-30 04:01:12,2025-01-30 23:03:04,844,Carrier,Shipment flagged for damage inspection.
SHP0000208,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-07-28 20:01:15,2025-07-29 17:13:40,673,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000211,WX,Weather Delay,Weather,High,Closed,2025-09-29 07:30:11,2025-09-30 02:46:48,1217,Carrier,Shipment delayed because of weather conditions.
SHP0000214,MSCN,Missed Scan,Process,Medium,Closed,2025-08-08 20:53:34,2025-08-09 05:04:07,400,Operations,Expected scan was not captured on time.
SHP0000215,WX,Weather Delay,Weather,High,Closed,2025-08-08 11:22:18,2025-08-09 02:25:04,729,Carrier,Shipment delayed because of weather conditions.
SHP0000219,WX,Weather Delay,Weather,High,Closed,2025-09-26 09:53:59,2025-09-27 12:39:38,1506,Carrier,Shipment delayed because of weather conditions.
SHP0000220,MSCN,Missed Scan,Process,Medium,Closed,2025-07-06 19:01:31,2025-07-07 10:31:12,246,Operations,Expected scan was not captured on time.
SHP0000221,MSCN,Missed Scan,Process,Medium,Closed,2025-08-13 00:07:37,2025-08-13 17:18:04,343,Operations,Expected scan was not captured on time.
SHP0000224,DAMG,Damaged Shipment,Damage,High,Closed,2025-08-26 18:27:28,2025-08-28 15:54:25,2450,Carrier,Shipment flagged for damage inspection.
SHP0000225,ADDR,Address Issue,Address,Medium,Closed,2025-03-26 08:55:29,2025-03-26 21:51:17,675,Customer,Delivery address requires correction or validation.
SHP0000226,ADDR,Address Issue,Address,Medium,Closed,2025-02-05 08:33:12,2025-02-06 14:21:32,1193,Customer,Delivery address requires correction or validation.
SHP0000228,WX,Weather Delay,Weather,High,Closed,2025-02-03 13:03:44,2025-02-04 20:30:09,1311,Carrier,Shipment delayed because of weather conditions.
SHP0000233,ADDR,Address Issue,Address,Medium,Closed,2025-01-17 05:52:32,2025-01-17 14:58:26,526,Customer,Delivery address requires correction or validation.
SHP0000235,WX,Weather Delay,Weather,High,Closed,2025-06-10 12:40:08,2025-06-11 05:20:26,320,Carrier,Shipment delayed because of weather conditions.
SHP0000238,MSCN,Missed Scan,Process,Medium,Closed,2025-08-10 12:20:57,2025-08-11 04:02:35,485,Operations,Expected scan was not captured on time.
SHP0000241,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-15 04:28:51,2025-06-15 18:21:20,426,Carrier,Shipment flagged for damage inspection.
SHP0000242,DAMG,Damaged Shipment,Damage,High,Closed,2025-04-08 03:49:53,2025-04-10 09:35:43,2696,Carrier,Shipment flagged for damage inspection.
SHP0000244,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-13 06:29:52,2025-06-14 16:35:30,1975,Carrier,Shipment flagged for damage inspection.
SHP0000245,MSCN,Missed Scan,Process,Medium,Closed,2025-08-14 10:49:23,2025-08-14 19:41:03,380,Operations,Expected scan was not captured on time.
SHP0000249,DAMG,Damaged Shipment,Damage,High,Closed,2025-07-13 14:16:38,2025-07-14 20:07:30,1801,Carrier,Shipment flagged for damage inspection.
SHP0000255,MSCN,Missed Scan,Process,Medium,Open,2025-08-23 20:56:54,,479,Operations,Expected scan was not captured on time.
SHP0000263,MECH,Equipment Failure,Mechanical,High,Closed,2025-01-02 01:12:36,2025-01-03 01:02:14,1029,Carrier,Equipment failure caused an operational delay.
SHP0000265,ADDR,Address Issue,Address,Medium,Open,2025-09-22 12:41:35,,844,Customer,Delivery address requires correction or validation.
SHP0000268,MSCN,Missed Scan,Process,Medium,Closed,2025-01-18 17:58:47,2025-01-18 19:50:50,189,Operations,Expected scan was not captured on time.
SHP0000272,WX,Weather Delay,Weather,High,Closed,2025-03-05 06:25:53,2025-03-05 19:41:50,459,Carrier,Shipment delayed because of weather conditions.
SHP0000273,ADDR,Address Issue,Address,Medium,Closed,2025-06-09 17:45:32,2025-06-10 01:12:56,279,Customer,Delivery address requires correction or validation.
SHP0000275,WX,Weather Delay,Weather,High,Closed,2025-06-09 16:14:43,2025-06-10 14:11:34,1285,Carrier,Shipment delayed because of weather conditions.
SHP0000276,WX,Weather Delay,Weather,High,Closed,2025-05-29 13:06:29,2025-05-30 21:15:31,1377,Carrier,Shipment delayed because of weather conditions.
SHP0000281,WX,Weather Delay,Weather,High,Closed,2025-04-14 05:31:15,2025-04-15 04:57:12,1451,Carrier,Shipment delayed because of weather conditions.
SHP0000282,ADDR,Address Issue,Address,Medium,Closed,2025-03-29 10:11:39,2025-03-30 04:22:41,826,Customer,Delivery address requires correction or validation.
SHP0000284,WX,Weather Delay,Weather,High,Closed,2025-07-10 02:15:41,2025-07-10 05:04:41,257,Carrier,Shipment delayed because of weather conditions.
SHP0000285,ADDR,Address Issue,Address,Medium,Closed,2025-09-16 09:32:00,2025-09-17 09:55:56,1279,Customer,Delivery address requires correction or validation.
SHP0000286,WX,Weather Delay,Weather,High,Closed,2025-01-28 07:39:36,2025-01-29 06:35:26,782,Carrier,Shipment delayed because of weather conditions.
SHP0000287,MSCN,Missed Scan,Process,Medium,Closed,2025-01-27 13:50:05,2025-01-28 02:22:55,364,Operations,Expected scan was not captured on time.
SHP0000291,ADDR,Address Issue,Address,Medium,Closed,2025-01-08 17:22:28,2025-01-09 06:00:50,149,Customer,Delivery address requires correction or validation.
SHP0000292,MECH,Equipment Failure,Mechanical,High,Closed,2025-04-29 03:19:03,2025-04-30 03:53:39,616,Carrier,Equipment failure caused an operational delay.
SHP0000293,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-02-28 01:02:55,2025-03-01 00:19:44,783,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000294,WX,Weather Delay,Weather,High,Closed,2025-08-18 02:33:02,2025-08-18 19:38:15,480,Carrier,Shipment delayed because of weather conditions.
SHP0000295,MSCN,Missed Scan,Process,Medium,Closed,2025-09-02 17:00:51,2025-09-03 06:31:57,201,Operations,Expected scan was not captured on time.
SHP0000296,WX,Weather Delay,Weather,High,Closed,2025-09-05 07:25:26,2025-09-06 08:16:33,1084,Carrier,Shipment delayed because of weather conditions.
SHP0000297,WX,Weather Delay,Weather,High,Closed,2025-03-16 11:54:56,2025-03-17 11:01:15,1193,Carrier,Shipment delayed because of weather conditions.
SHP0000301,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-03-18 14:32:45,2025-03-18 23:47:56,587,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000305,MSCN,Missed Scan,Process,Medium,Closed,2025-05-31 14:40:52,2025-06-01 09:21:39,386,Operations,Expected scan was not captured on time.
SHP0000306,ADDR,Address Issue,Address,Medium,Closed,2025-03-01 18:06:40,2025-03-02 03:18:05,434,Customer,Delivery address requires correction or validation.
SHP0000308,MSCN,Missed Scan,Process,Medium,Closed,2025-09-24 04:07:20,2025-09-24 13:49:06,50,Operations,Expected scan was not captured on time.
SHP0000309,MSCN,Missed Scan,Process,Medium,Closed,2025-07-17 05:19:42,2025-07-17 11:44:47,129,Operations,Expected scan was not captured on time.
SHP0000310,MECH,Equipment Failure,Mechanical,High,Closed,2025-06-12 06:38:37,2025-06-13 11:57:12,1048,Carrier,Equipment failure caused an operational delay.
SHP0000311,MECH,Equipment Failure,Mechanical,High,Closed,2025-06-19 04:18:38,2025-06-20 00:30:12,772,Carrier,Equipment failure caused an operational delay.
SHP0000312,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-30 07:33:58,2025-06-30 19:25:00,633,Carrier,Shipment flagged for damage inspection.
SHP0000313,ADDR,Address Issue,Address,Medium,Open,2025-09-10 22:10:43,,849,Customer,Delivery address requires correction or validation.
SHP0000314,WX,Weather Delay,Weather,High,Closed,2025-05-13 10:28:09,2025-05-14 06:17:46,816,Carrier,Shipment delayed because of weather conditions.
SHP0000316,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-09-11 06:05:19,2025-09-11 15:44:32,495,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000317,WX,Weather Delay,Weather,High,Closed,2025-03-17 14:03:41,2025-03-18 05:00:58,808,Carrier,Shipment delayed because of weather conditions.
SHP0000318,MSCN,Missed Scan,Process,Medium,Closed,2025-07-16 00:22:49,2025-07-16 17:35:00,392,Operations,Expected scan was not captured on time.
SHP0000319,MSCN,Missed Scan,Process,Medium,Closed,2025-05-13 23:33:17,2025-05-14 14:09:20,227,Operations,Expected scan was not captured on time.
SHP0000323,MECH,Equipment Failure,Mechanical,High,Closed,2025-08-30 13:08:18,2025-08-31 05:01:23,1299,Carrier,Equipment failure caused an operational delay.
SHP0000326,ADDR,Address Issue,Address,Medium,Closed,2025-02-12 06:25:26,2025-02-13 03:53:22,985,Customer,Delivery address requires correction or validation.
SHP0000331,WX,Weather Delay,Weather,High,Closed,2025-06-09 22:04:56,2025-06-10 08:58:21,769,Carrier,Shipment delayed because of weather conditions.
SHP0000332,ADDR,Address Issue,Address,Medium,Closed,2025-05-26 05:27:27,2025-05-26 20:50:23,367,Customer,Delivery address requires correction or validation.
SHP0000333,DAMG,Damaged Shipment,Damage,High,Closed,2025-03-21 16:49:05,2025-03-22 12:21:12,2774,Carrier,Shipment flagged for damage inspection.
SHP0000334,DAMG,Damaged Shipment,Damage,High,Closed,2025-01-21 23:50:58,2025-01-23 07:52:41,1846,Carrier,Shipment flagged for damage inspection.
SHP0000338,WX,Weather Delay,Weather,High,Closed,2025-01-10 17:16:23,2025-01-11 12:50:52,1187,Carrier,Shipment delayed because of weather conditions.
SHP0000342,WX,Weather Delay,Weather,High,Closed,2025-04-27 10:06:31,2025-04-27 19:03:02,501,Carrier,Shipment delayed because of weather conditions.
SHP0000343,WX,Weather Delay,Weather,High,Closed,2025-08-29 09:37:46,2025-08-29 22:40:41,313,Carrier,Shipment delayed because of weather conditions.
SHP0000346,WX,Weather Delay,Weather,High,Closed,2025-09-26 12:43:46,2025-09-27 22:16:09,1558,Carrier,Shipment delayed because of weather conditions.
SHP0000350,DAMG,Damaged Shipment,Damage,High,Closed,2025-06-18 16:29:58,2025-06-20 08:39:30,1579,Carrier,Shipment flagged for damage inspection.
SHP0000353,DAMG,Damaged Shipment,Damage,High,Open,2025-06-27 08:32:25,,1964,Carrier,Shipment flagged for damage inspection.
SHP0000354,ADDR,Address Issue,Address,Medium,Open,2025-01-08 20:07:26,,1089,Customer,Delivery address requires correction or validation.
SHP0000358,WX,Weather Delay,Weather,High,Closed,2025-02-07 23:19:40,2025-02-08 09:57:05,660,Carrier,Shipment delayed because of weather conditions.
SHP0000359,ADDR,Address Issue,Address,Medium,Closed,2025-06-23 07:37:28,2025-06-24 11:48:34,969,Customer,Delivery address requires correction or validation.
SHP0000360,DAMG,Damaged Shipment,Damage,High,Closed,2025-01-05 07:55:49,2025-01-06 07:57:10,1033,Carrier,Shipment flagged for damage inspection.
SHP0000363,ADDR,Address Issue,Address,Medium,Closed,2025-05-17 22:34:33,2025-05-18 13:35:47,375,Customer,Delivery address requires correction or validation.
SHP0000366,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-06-22 08:20:50,2025-06-23 07:37:04,676,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000367,DAMG,Damaged Shipment,Damage,High,Closed,2025-03-20 22:04:14,2025-03-21 13:08:17,543,Carrier,Shipment flagged for damage inspection.
SHP0000371,WX,Weather Delay,Weather,High,Closed,2025-03-08 02:54:58,2025-03-09 07:19:36,903,Carrier,Shipment delayed because of weather conditions.
SHP0000372,MSCN,Missed Scan,Process,Medium,Closed,2025-01-11 22:34:23,2025-01-12 12:40:25,330,Operations,Expected scan was not captured on time.
SHP0000373,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-01-02 18:52:43,2025-01-03 06:24:46,60,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000377,DAMG,Damaged Shipment,Damage,High,Closed,2025-09-20 02:36:10,2025-09-22 08:04:14,2842,Carrier,Shipment flagged for damage inspection.
SHP0000378,MSCN,Missed Scan,Process,Medium,Closed,2025-01-25 11:01:27,2025-01-26 08:39:56,430,Operations,Expected scan was not captured on time.
SHP0000380,ADDR,Address Issue,Address,Medium,Closed,2025-01-29 07:27:05,2025-01-29 21:51:03,318,Customer,Delivery address requires correction or validation.
SHP0000381,CAP,Capacity Constraint,Capacity,Medium,Closed,2025-02-15 17:41:13,2025-02-16 10:12:52,770,Carrier,Shipment delayed due to available trailer or dock capacity.
SHP0000387,WX,Weather Delay,Weather,High,Closed,2025-03-15 09:56:07,2025-03-16 14:35:41,1375,Carrier,Shipment delayed because of weather conditions.
SHP0000389,ADDR,Address Issue,Address,Medium,Closed,2025-07-15 15:25:06,2025-07-16 07:33:31,378,Customer,Delivery address requires correction or validation.
SHP0000391,MSCN,Missed Scan,Process,Medium,Closed,2025-05-18 02:44:38,2025-05-18 09:47:33,210,Operations,Expected scan was not captured on time.
SHP0000392,WX,Weather Delay,Weather,High,Open,2025-07-03 13:56:38,,482,Carrier,Shipment delayed because of weather conditions.
SHP0000401,DAMG,Damaged Shipment,Damage,High,Closed,2025-08-22 06:39:48,2025-08-23 11:17:57,1156,Carrier,Shipment flagged for damage inspection.
SHP0000404,MECH,Equipment Failure,Mechanical,High,Closed,2025-09-06 09:44:43,2025-09-06 21:46:48,523,Carrier,Equipment failure caused an operational delay.
SHP0000408,ADDR,Address Issue,Address,Medium,Closed,2025-06-12 08:01:16,2025-06-12 21:59:59,201,Customer,Delivery address requires correction or validation.
SHP0000410,MSCN,Missed Scan,Process,Medium,Closed,2025-06-06 05:29:10,2025-06-06 16:36:42,340,Operations,Expected scan was not captured on time.
SHP0000413,DAMG,Damaged Shipment,Damage,High,Closed,2025-09-16 22:20:05,2025-09-18 19:13:24,2096,Carrier,Shipment flagged for damage inspection.
SHP0000415,WX,Weather Delay,Weather,High,Closed,2025-07-29 16:53:46,2025-07-30 13:08:13,1055,Carrier,Shipment delayed because of weather conditions.
SHP0000416,ADDR,Address Issue,Address,Medium,Closed,2025-02-11 05:47:49,2025-02-11 15:55:28,512,Customer,Delivery address requires correction or validation.
SHP0000417,MSCN,Missed Scan,Process,Medium,Closed,2025-01-04 06:42:13,2025-01-04 12:28:48,33,Operations,Expected scan was not captured on time.
SHP0000421,MSCN,Missed Scan,Process,Medium,Open,2025-03-19 10:52:19,,396,Operations,Expected scan was not captured on time.
SHP0000425,ADDR,Address Issue,Address,Medium,Closed,2025-09-15 07:09:09,2025-09-15 19:58:37,580,Customer,Delivery address requires correction or validation.
SHP0000428,WX,Weather Delay,Weather,High,Closed,2025-06-09 03:55:47,2025-06-10 10:02:13,1240,Carrier,Shipment delayed because of weather conditions.
SHP0000431,MSCN,Missed Scan,Process,Medium,Closed,2025-02-14 16:32:02,2025-02-15 10:06:14,465,Operations,Expected scan was not captured on time.
SHP0000434,ADDR,Address Issue,Address,Medium,Open,2025-07-07 10:36:58,,896,Customer,Delivery address requires correction or validation.
SHP0000435,MSCN,Missed Scan,Process,Medium,Closed,2025-03-23 22:03:54,2025-03-24 05:32:44,478,Operations,Expected scan was not captured on time.
SHP0000443,DAMG,Damaged Shipment,Damage,High,Closed,2025-09-16 16:58:58,2025-09-18 07:34:55,1716,Carrier,Shipment flagged for damage inspection.
SHP0000445,WX,Weather Delay,Weather,High,Closed,2025-09-24 23:36:30,2025-09-26 01:04:35,1675,Carrier,Shipment delayed because of weather conditions.
SHP0000446,ADDR,Address Issue,Address,Medium,Closed,2025-02-04 15:55:26,2025-02-05 02:35:41,593,Customer,Delivery address requires correction or validation.
SHP0000448,WX,Weather Delay,Weather,High,Closed,2025-03-29 15:20:04,2025-03-31 02:16:34,1529,Carrier,Shipment delayed because of weather conditions.
SHP0000452,WX,Weather Delay,Weather,High,Closed,2025-01-20 20:28:41,2025-01-22 05:01:00,1568,Carrier,Shipment delayed because of weather conditions.
SHP0000457,MSCN,Missed Scan,Process,Medium,Closed,2025-04-09 08:47:17,2025-04-09 12:47:35,82,Operations,Expected scan was not captured on time.
SHP0000458,MSCN,Missed Scan,Process,Medium,Closed,2025-02-10 05:38:27,2025-02-10 16:39:25,90,Operations,Expected scan was not captured on time.
SHP0000460,ADDR,Address Issue,Address,Medium,Closed,2025-09-23 15:41:18,2025-09-24 12:30:58,842,Customer,Delivery address requires correction or validation.
SHP0000463,MSCN,Missed Scan,Process,Medium,Closed,2025-01-12 08:22:44,2025-01-13 02:37:21,446,Operations,Expected scan was not captured on time.
SHP0000466,WX,Weather Delay,Weather,High,Open,2025-05-14 05:48:44,,458,Carrier,Shipment delayed because of weather conditions.
SHP0000468,ADDR,Address Issue,Address,Medium,Closed,2025-01-15 08:56:54,2025-01-15 21:42:01,594,Customer,Delivery address requires correction or validation.
SHP0000469,WX,Weather Delay,Weather,High,Closed,2025-05-22 16:53:59,2025-05-23 21:23:49,1525,Carrier,Shipment delayed because of weather conditions.
SHP0000471,DAMG,Damaged Shipment,Damage,High,Closed,2025-07-07 13:41:59,2025-07-09 06:39:58,2203,Carrier,Shipment flagged for damage inspection.
SHP0000473,WX,Weather Delay,Weather,High,Open,2025-06-16 03:39:18,,1403,Carrier,Shipment delayed because of weather conditions.
