ShipmentNumber,EventSequenceNumber,StatusCode,StatusDescription,EventDateTime,LocationCode,ScanType,EventSource,ExceptionCode,Notes
SHP0000003,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-30 06:27:25,CHI_DC,Scan,EDI,,
SHP0000003,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-30 05:52:31,CHI_DC,Scan,Handheld,,
SHP0000003,7,DELIVERED,Shipment delivered to customer.,2025-04-30 10:21:19,CHI_DC,Delivery,Handheld,,
SHP0000004,1,CREATED,Shipment created in transportation management system.,2025-06-06 05:42:00,SEA_DC,System,TMS,,
SHP0000004,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-06 06:42:00,SEA_DC,System,TMS,,
SHP0000004,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-07 00:00:35,SEA_DC,Scan,Handheld,,
SHP0000004,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-07 01:37:32,SEA_DC,Scan,Handheld,,
SHP0000004,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-06 20:23:22,PDX_DEP,Scan,EDI,,
SHP0000004,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-07 04:41:49,PDX_DEP,Scan,Handheld,,
SHP0000004,7,DELIVERED,Shipment delivered to customer.,2025-06-07 08:04:08,PDX_DEP,Delivery,Handheld,,
SHP0000005,1,CREATED,Shipment created in transportation management system.,2025-01-05 10:19:00,DEN_DC,System,TMS,,
SHP0000005,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-05 11:19:00,DEN_DC,System,TMS,,
SHP0000005,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-06 02:13:30,DEN_DC,Scan,Handheld,,
SHP0000005,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-06 05:09:43,DEN_DC,Scan,Handheld,,
SHP0000005,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-06 04:35:39,KC_DEP,Scan,EDI,,
SHP0000005,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-06 09:06:24,KC_DEP,Scan,Handheld,,
SHP0000005,7,DELIVERED,Shipment delivered to customer.,2025-01-06 12:38:14,KC_DEP,Delivery,Handheld,,
SHP0000006,1,CREATED,Shipment created in transportation management system.,2025-08-21 21:13:00,TUS_HUB,System,TMS,,
SHP0000006,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-21 22:13:00,TUS_HUB,System,TMS,,
SHP0000006,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-22 08:28:51,TUS_HUB,Scan,Handheld,,
SHP0000006,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-22 09:46:10,TUS_HUB,Scan,Handheld,,
SHP0000006,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-22 07:06:08,PHX_DC,Scan,EDI,,
SHP0000006,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-22 09:21:14,PHX_DC,Scan,Handheld,,
SHP0000006,7,DELIVERED,Shipment delivered to customer.,2025-08-22 13:07:24,PHX_DC,Delivery,Handheld,,
SHP0000007,1,CREATED,Shipment created in transportation management system.,2025-01-26 10:47:00,PHX_DC,System,TMS,,
SHP0000007,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-26 11:47:00,PHX_DC,System,TMS,,
SHP0000007,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-27 01:54:43,PHX_DC,Scan,Handheld,,
SHP0000007,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-27 04:15:58,PHX_DC,Scan,Handheld,,
SHP0000007,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-27 17:44:36,DAL_DC,Scan,EDI,,
SHP0000007,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-27 17:45:06,DAL_DC,Scan,Handheld,,
SHP0000007,7,DELIVERED,Shipment delivered to customer.,2025-01-27 21:56:18,DAL_DC,Delivery,Handheld,,
SHP0000008,1,CREATED,Shipment created in transportation management system.,2025-06-14 15:08:00,DAL_DC,System,TMS,,
SHP0000008,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-14 16:08:00,DAL_DC,System,TMS,,
SHP0000008,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-14 18:57:12,DAL_DC,Scan,Handheld,,
SHP0000008,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-14 20:19:48,DAL_DC,Scan,Handheld,,
SHP0000008,5,MISSED_SCAN_ALERT,Expected scan was not captured on time.,2025-06-15 03:33:49,CHI_DC,Alert,CarrierEDI,MSCN,Expected scan was not captured on time.
SHP0000008,6,RESOLVED,Shipment exception resolved.,2025-06-15 14:36:43,CHI_DC,System,TMS,MSCN,Exception closed and shipment released.
SHP0000008,7,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-15 14:03:39,CHI_DC,Scan,Handheld,,
SHP0000008,8,DELIVERED,Shipment delivered to customer.,2025-06-15 19:05:26,CHI_DC,Delivery,Handheld,,
SHP0000009,1,CREATED,Shipment created in transportation management system.,2025-06-22 10:54:00,HOU_HUB,System,TMS,,
SHP0000009,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-22 11:54:00,HOU_HUB,System,TMS,,
SHP0000009,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-23 01:52:17,HOU_HUB,Scan,Handheld,,
SHP0000009,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-23 03:10:51,HOU_HUB,Scan,Handheld,,
SHP0000009,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-23 12:36:17,ATL_HUB,Scan,EDI,,
SHP0000009,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-23 13:30:41,ATL_HUB,Scan,Handheld,,
SHP0000009,7,DELIVERED,Shipment delivered to customer.,2025-06-23 16:48:21,ATL_HUB,Delivery,Handheld,,
SHP0000010,1,CREATED,Shipment created in transportation management system.,2025-04-02 04:50:00,CHI_DC,System,TMS,,
SHP0000010,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-02 05:50:00,CHI_DC,System,TMS,,
SHP0000010,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-02 22:32:56,CHI_DC,Scan,Handheld,,
SHP0000010,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-03 00:12:48,CHI_DC,Scan,Handheld,,
SHP0000010,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-03 13:55:25,DEN_DC,Scan,EDI,,
SHP0000010,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-03 13:04:19,DEN_DC,Scan,Handheld,,
SHP0000010,7,DELIVERED,Shipment delivered to customer.,2025-04-03 18:01:50,DEN_DC,Delivery,Handheld,,
SHP0000011,1,CREATED,Shipment created in transportation management system.,2025-05-23 09:33:00,PHX_DC,System,TMS,,
SHP0000011,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-05-23 10:33:00,PHX_DC,System,TMS,,
SHP0000011,3,PICKED_UP,Shipment picked up from origin facility.,2025-05-23 19:58:32,PHX_DC,Scan,Handheld,,
SHP0000011,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-05-23 20:51:15,PHX_DC,Scan,Handheld,,
SHP0000011,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-05-23 18:38:01,LAS_HUB,Scan,EDI,,
SHP0000011,6,ADDRESS_REVIEW,Delivery address requires correction or validation.,2025-05-23 16:01:03,LAS_HUB,Alert,CarrierEDI,ADDR,Delivery address requires correction or validation.
SHP0000011,7,RESOLVED,Shipment exception resolved.,2025-05-24 17:19:52,LAS_HUB,System,TMS,ADDR,Exception closed and shipment released.
SHP0000011,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-05-24 20:23:29,LAS_HUB,Scan,Handheld,,
SHP0000011,9,DELIVERED,Shipment delivered to customer.,2025-05-24 22:31:16,LAS_HUB,Delivery,Handheld,,
SHP0000012,1,CREATED,Shipment created in transportation management system.,2025-01-26 04:44:00,DEN_DC,System,TMS,,
SHP0000012,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-01-26 05:44:00,DEN_DC,System,TMS,,
SHP0000012,3,PICKED_UP,Shipment picked up from origin facility.,2025-01-26 20:32:32,DEN_DC,Scan,Handheld,,
SHP0000012,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-01-26 21:45:07,DEN_DC,Scan,Handheld,,
SHP0000012,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-01-27 11:32:22,SEA_DC,Scan,EDI,,
SHP0000012,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-01-27 16:34:56,SEA_DC,Scan,Handheld,,
SHP0000012,7,DELIVERED,Shipment delivered to customer.,2025-01-27 19:02:13,SEA_DC,Delivery,Handheld,,
SHP0000013,1,CREATED,Shipment created in transportation management system.,2025-04-20 11:24:00,KC_DEP,System,TMS,,
SHP0000013,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-20 12:24:00,KC_DEP,System,TMS,,
SHP0000013,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-21 00:39:33,KC_DEP,Scan,Handheld,,
SHP0000013,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-21 02:14:26,KC_DEP,Scan,Handheld,,
SHP0000013,5,MISSED_SCAN_ALERT,Expected scan was not captured on time.,2025-04-20 18:59:06,CHI_DC,Alert,CarrierEDI,MSCN,Expected scan was not captured on time.
SHP0000013,6,RESOLVED,Shipment exception resolved.,2025-04-21 09:45:15,CHI_DC,System,TMS,MSCN,Exception closed and shipment released.
SHP0000013,7,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-21 10:10:37,CHI_DC,Scan,Handheld,,
SHP0000013,8,DELIVERED,Shipment delivered to customer.,2025-04-21 14:07:26,CHI_DC,Delivery,Handheld,,
SHP0000014,1,CREATED,Shipment created in transportation management system.,2025-07-22 04:11:00,DAL_DC,System,TMS,,
SHP0000014,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-07-22 05:11:00,DAL_DC,System,TMS,,
SHP0000014,3,PICKED_UP,Shipment picked up from origin facility.,2025-07-22 11:12:04,DAL_DC,Scan,Handheld,,
SHP0000014,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-07-22 13:05:18,DAL_DC,Scan,Handheld,,
SHP0000014,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-07-22 22:33:51,DEN_DC,Scan,EDI,,
SHP0000014,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-07-22 23:58:13,DEN_DC,Scan,Handheld,,
SHP0000014,7,DELIVERED,Shipment delivered to customer.,2025-07-23 05:06:11,DEN_DC,Delivery,Handheld,,
SHP0000015,1,CREATED,Shipment created in transportation management system.,2025-04-11 23:40:00,PHX_DC,System,TMS,,
SHP0000015,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-12 00:40:00,PHX_DC,System,TMS,,
SHP0000015,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-12 06:01:20,PHX_DC,Scan,Handheld,,
SHP0000015,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-12 07:59:59,PHX_DC,Scan,Handheld,,
SHP0000015,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-12 01:25:18,LAS_HUB,Scan,EDI,,
SHP0000015,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-12 06:24:52,LAS_HUB,Scan,Handheld,,
SHP0000015,7,DELIVERED,Shipment delivered to customer.,2025-04-12 10:14:40,LAS_HUB,Delivery,Handheld,,
SHP0000016,1,CREATED,Shipment created in transportation management system.,2025-04-23 11:36:00,LAS_HUB,System,TMS,,
SHP0000016,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-23 12:36:00,LAS_HUB,System,TMS,,
SHP0000016,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-23 23:04:50,LAS_HUB,Scan,Handheld,,
SHP0000016,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-24 01:54:48,LAS_HUB,Scan,Handheld,,
SHP0000016,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-24 06:34:44,DEN_DC,Scan,EDI,,
SHP0000016,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-24 07:59:45,DEN_DC,Scan,Handheld,,
SHP0000016,7,DELIVERED,Shipment delivered to customer.,2025-04-24 10:08:45,DEN_DC,Delivery,Handheld,,
SHP0000017,1,CREATED,Shipment created in transportation management system.,2025-09-26 10:11:00,LAX_DC,System,TMS,,
SHP0000017,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-26 11:11:00,LAX_DC,System,TMS,,
SHP0000017,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-27 07:20:14,LAX_DC,Scan,Handheld,,
SHP0000017,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-27 09:55:29,LAX_DC,Scan,Handheld,,
SHP0000017,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-27 00:12:33,SAN_DEP,Scan,EDI,,
SHP0000017,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-09-27 04:44:23,SAN_DEP,Scan,Handheld,,
SHP0000017,7,DELIVERED,Shipment delivered to customer.,2025-09-27 07:27:38,SAN_DEP,Delivery,Handheld,,
SHP0000018,1,CREATED,Shipment created in transportation management system.,2025-03-12 13:35:00,SLC_HUB,System,TMS,,
SHP0000018,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-03-12 14:35:00,SLC_HUB,System,TMS,,
SHP0000018,3,PICKED_UP,Shipment picked up from origin facility.,2025-03-13 02:24:18,SLC_HUB,Scan,Handheld,,
SHP0000018,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-03-13 03:33:24,SLC_HUB,Scan,Handheld,,
SHP0000018,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-03-13 02:00:33,DEN_DC,Scan,EDI,,
SHP0000018,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-03-13 08:29:36,DEN_DC,Scan,Handheld,,
SHP0000018,7,DELIVERED,Shipment delivered to customer.,2025-03-13 11:03:18,DEN_DC,Delivery,Handheld,,
SHP0000019,1,CREATED,Shipment created in transportation management system.,2025-09-23 12:07:00,TUS_HUB,System,TMS,,
SHP0000019,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-23 13:07:00,TUS_HUB,System,TMS,,
SHP0000019,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-24 05:38:51,TUS_HUB,Scan,Handheld,,
SHP0000019,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-24 07:13:01,TUS_HUB,Scan,Handheld,,
SHP0000019,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-24 02:11:33,PHX_DC,Scan,EDI,,
SHP0000019,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-09-24 02:20:07,PHX_DC,Scan,Handheld,,
SHP0000019,7,DELIVERED,Shipment delivered to customer.,2025-09-24 06:29:32,PHX_DC,Delivery,Handheld,,
SHP0000020,1,CREATED,Shipment created in transportation management system.,2025-02-15 14:59:00,DAL_DC,System,TMS,,
SHP0000020,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-15 15:59:00,DAL_DC,System,TMS,,
SHP0000020,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-16 07:01:08,DAL_DC,Scan,Handheld,,
SHP0000020,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-16 09:09:13,DAL_DC,Scan,Handheld,,
SHP0000020,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-16 06:48:49,HOU_HUB,Scan,EDI,,
SHP0000020,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-16 09:05:36,HOU_HUB,Scan,Handheld,,
SHP0000020,7,DELIVERED,Shipment delivered to customer.,2025-02-16 12:47:06,HOU_HUB,Delivery,Handheld,,
SHP0000021,1,CREATED,Shipment created in transportation management system.,2025-06-06 18:25:00,PHX_DC,System,TMS,,
SHP0000021,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-06 19:25:00,PHX_DC,System,TMS,,
SHP0000021,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-07 12:11:24,PHX_DC,Scan,Handheld,,
SHP0000021,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-07 13:09:01,PHX_DC,Scan,Handheld,,
SHP0000021,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-07 09:16:17,LAX_DC,Scan,EDI,,
SHP0000021,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-07 13:59:31,LAX_DC,Scan,Handheld,,
SHP0000021,7,DELIVERED,Shipment delivered to customer.,2025-06-07 16:25:53,LAX_DC,Delivery,Handheld,,
SHP0000022,1,CREATED,Shipment created in transportation management system.,2025-02-23 21:35:00,ABQ_HUB,System,TMS,,
SHP0000022,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-02-23 22:35:00,ABQ_HUB,System,TMS,,
SHP0000022,3,PICKED_UP,Shipment picked up from origin facility.,2025-02-24 05:00:10,ABQ_HUB,Scan,Handheld,,
SHP0000022,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-02-24 07:13:44,ABQ_HUB,Scan,Handheld,,
SHP0000022,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-02-24 10:08:03,DAL_DC,Scan,EDI,,
SHP0000022,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-02-24 09:05:29,DAL_DC,Scan,Handheld,,
SHP0000022,7,DELIVERED,Shipment delivered to customer.,2025-02-24 13:35:42,DAL_DC,Delivery,Handheld,,
SHP0000023,1,CREATED,Shipment created in transportation management system.,2025-09-11 14:58:00,TUS_HUB,System,TMS,,
SHP0000023,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-09-11 15:58:00,TUS_HUB,System,TMS,,
SHP0000023,3,PICKED_UP,Shipment picked up from origin facility.,2025-09-12 04:15:13,TUS_HUB,Scan,Handheld,,
SHP0000023,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-09-12 06:52:20,TUS_HUB,Scan,Handheld,,
SHP0000023,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-09-11 22:59:33,PHX_DC,Scan,EDI,,
SHP0000023,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-09-12 02:16:35,PHX_DC,Scan,Handheld,,
SHP0000023,7,DELIVERED,Shipment delivered to customer.,2025-09-12 07:21:54,PHX_DC,Delivery,Handheld,,
SHP0000024,1,CREATED,Shipment created in transportation management system.,2025-04-01 06:24:00,DEN_DC,System,TMS,,
SHP0000024,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-04-01 07:24:00,DEN_DC,System,TMS,,
SHP0000024,3,PICKED_UP,Shipment picked up from origin facility.,2025-04-02 01:43:44,DEN_DC,Scan,Handheld,,
SHP0000024,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-04-02 02:49:06,DEN_DC,Scan,Handheld,,
SHP0000024,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-04-02 05:41:22,OMA_HUB,Scan,EDI,,
SHP0000024,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-04-02 08:09:36,OMA_HUB,Scan,Handheld,,
SHP0000024,7,DELIVERED,Shipment delivered to customer.,2025-04-02 10:16:17,OMA_HUB,Delivery,Handheld,,
SHP0000025,1,CREATED,Shipment created in transportation management system.,2025-05-01 17:17:00,LAX_DC,System,TMS,,
SHP0000025,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-05-01 18:17:00,LAX_DC,System,TMS,,
SHP0000025,3,PICKED_UP,Shipment picked up from origin facility.,2025-05-02 04:05:40,LAX_DC,Scan,Handheld,,
SHP0000025,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-05-02 06:45:53,LAX_DC,Scan,Handheld,,
SHP0000025,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-05-02 09:12:16,SLC_HUB,Scan,EDI,,
SHP0000025,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-05-02 15:34:44,SLC_HUB,Scan,Handheld,,
SHP0000025,7,DELIVERED,Shipment delivered to customer.,2025-05-02 18:45:17,SLC_HUB,Delivery,Handheld,,
SHP0000026,1,CREATED,Shipment created in transportation management system.,2025-08-08 21:18:00,DEN_DC,System,TMS,,
SHP0000026,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-08 22:18:00,DEN_DC,System,TMS,,
SHP0000026,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-09 14:53:49,DEN_DC,Scan,Handheld,,
SHP0000026,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-09 17:41:15,DEN_DC,Scan,Handheld,,
SHP0000026,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-09 19:36:24,OMA_HUB,Scan,EDI,,
SHP0000026,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-10 01:46:51,OMA_HUB,Scan,Handheld,,
SHP0000026,7,DELIVERED,Shipment delivered to customer.,2025-08-10 05:55:58,OMA_HUB,Delivery,Handheld,,
SHP0000027,1,CREATED,Shipment created in transportation management system.,2025-06-18 08:22:00,PHX_DC,System,TMS,,
SHP0000027,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-18 09:22:00,PHX_DC,System,TMS,,
SHP0000027,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-18 14:45:43,PHX_DC,Scan,Handheld,,
SHP0000027,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-18 16:01:00,PHX_DC,Scan,Handheld,,
SHP0000027,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-19 07:26:12,DAL_DC,Scan,EDI,,
SHP0000027,6,DAMAGE_REPORTED,Shipment flagged for damage inspection.,2025-06-18 20:20:06,PHX_DC,Alert,CarrierEDI,DAMG,Shipment flagged for damage inspection.
SHP0000027,7,RESOLVED,Shipment exception resolved.,2025-06-20 18:55:30,DAL_DC,System,TMS,DAMG,Exception closed and shipment released.
SHP0000027,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-06-20 18:01:20,DAL_DC,Scan,Handheld,,
SHP0000027,9,DELIVERED,Shipment delivered to customer.,2025-06-20 19:38:47,DAL_DC,Delivery,Handheld,,
SHP0000028,1,CREATED,Shipment created in transportation management system.,2025-08-15 11:18:00,SLC_HUB,System,TMS,,
SHP0000028,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-15 12:18:00,SLC_HUB,System,TMS,,
SHP0000028,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-15 18:10:04,SLC_HUB,Scan,Handheld,,
SHP0000028,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-15 21:00:28,SLC_HUB,Scan,Handheld,,
SHP0000028,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-15 20:40:12,DEN_DC,Scan,EDI,,
SHP0000028,6,CAPACITY_DELAY,Shipment delayed due to available trailer or dock capacity.,2025-08-15 12:44:41,SLC_HUB,Alert,CarrierEDI,CAP,Shipment delayed due to available trailer or dock capacity.
SHP0000028,7,RESOLVED,Shipment exception resolved.,2025-08-16 09:55:06,DEN_DC,System,TMS,CAP,Exception closed and shipment released.
SHP0000028,8,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-16 07:13:00,DEN_DC,Scan,Handheld,,
SHP0000028,9,DELIVERED,Shipment delivered to customer.,2025-08-16 12:28:57,DEN_DC,Delivery,Handheld,,
SHP0000029,1,CREATED,Shipment created in transportation management system.,2025-08-17 14:55:00,LAX_DC,System,TMS,,
SHP0000029,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-08-17 15:55:00,LAX_DC,System,TMS,,
SHP0000029,3,PICKED_UP,Shipment picked up from origin facility.,2025-08-18 00:16:44,LAX_DC,Scan,Handheld,,
SHP0000029,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-08-18 01:03:27,LAX_DC,Scan,Handheld,,
SHP0000029,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-08-18 03:41:08,SLC_HUB,Scan,EDI,,
SHP0000029,6,OUT_FOR_DELIVERY,Shipment is out for delivery.,2025-08-18 04:19:30,SLC_HUB,Scan,Handheld,,
SHP0000029,7,DELIVERED,Shipment delivered to customer.,2025-08-18 07:47:09,SLC_HUB,Delivery,Handheld,,
SHP0000030,1,CREATED,Shipment created in transportation management system.,2025-06-17 15:15:00,CHI_DC,System,TMS,,
SHP0000030,2,PICKUP_SCHEDULED,Pickup appointment scheduled.,2025-06-17 16:15:00,CHI_DC,System,TMS,,
SHP0000030,3,PICKED_UP,Shipment picked up from origin facility.,2025-06-18 05:37:50,CHI_DC,Scan,Handheld,,
SHP0000030,4,DEPARTED_ORIGIN,Shipment departed origin facility.,2025-06-18 08:17:49,CHI_DC,Scan,Handheld,,
SHP0000030,5,AT_DESTINATION_HUB,Shipment arrived at destination hub.,2025-06-18 18:51:38,DEN_DC,Scan,EDI,,
